No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
126,Week,星期四,星期二,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
6,Month,六月,九月 ,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
14,Month,四月,六月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
16,Month,八月,十二月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
11,Month,十一月 ,十二月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
141,Week,星期六,星期三 ,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
23,Month,一月,二月 ,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
123,Week,星期六,星期日,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
48,Month,十月 ,八月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
82,Month,六月,五月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
1,Month,一月,四月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
142,Week,星期日,星期四,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
2,Month,二月,五月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
10,Month,二月,六月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
34,Month,四月,六月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
98,Week,星期二,星期五,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
39,Month,十一月 ,七月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
72,Month,四月,二月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
13,Month,二月,三月,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
16,Month,七月,十月 ,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
26,Month,八月,十一月 ,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
60,Month,十二月,十月 ,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
21,Month,五月,九月 ,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
134,Week,星期五,星期三 ,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
68,Month,十月 ,八月,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
7,Month,七月,十一月 ,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
