No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93183983396739,34.932073374977335,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,0,0,3,37.85979004204273,,,,,,,,,,,,,,,,,,,34.9323114589788,34.95127666706685,34.95127666706685,37.79538754199166,space,2.8409640829777345,None,37.827021625009365,37.85979004204273,38.79645470902324,38.79646550002508,38.806027541984804,38.806027541984804,38.806027541984804,40.91358495899476,40.91360004199669,40.92940120899584,41.91357195901219,41.94543558405712,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,1,1,6,41.94543558405712,,,,,,,,,,,,,,,,,,,,,,,,,,41.913855292019434,41.94543558405712,42.914252959075384,42.914261333993636,42.931057917070575,42.931057917070575,42.931057917070575,45.29825162503403,45.298264874960296,45.31282187497709,46.298317834036425,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,2,2,7,46.33202804205939,,,,,,,,,,,,,,,,,,,,,,,,,,46.29857474996243,46.33202804205939,47.29850720905233,47.298515834030695,47.31537616706919,47.31537616706919,47.31537616706919,48.8813993340591,48.88141358399298,48.89549937506672,49.88072854198981,49.91154295904562,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",1,0,1,0,0,3,3,5,49.91154295904562,,,,,,,,,,,,,,,,,,,,,,,,,,49.88098808401264,49.91154295904562,50.88175116700586,50.88175966707058,50.896991583984345,50.896991583984345,50.896991583984345,51.881330125033855,51.88134375005029,51.89654874999542,52.881530125043355,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",1,0,1,0,0,4,4,4,52.91437033400871,,,,,,,,,,,,,,,,,,,,,,,,,,52.88178325002082,52.91437033400871,53.898159833974205,53.89816779200919,53.913569541997276,53.913569541997276,53.913569541997276,55.13200562505517,55.13201870897319,55.14694291702472,56.13011120900046,56.15888891706709,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,5,5,2,56.15888891706709,,,,,,,,,,,,,,,,,,,,,,,,,,56.13038137496915,56.15888891706709,57.1474667500006,57.1474810000509,57.16290745907463,57.16290745907463,57.16290745907463,58.485511792008765,58.485526042059064,58.498978000017814,59.4953931249911,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",1,0,1,0,0,6,6,0,59.52645900007337,,,,,,,,,,,,,,,,,,,,,,,,,,59.49568895902485,59.52645900007337,60.49711670901161,60.49712616705801,60.512780167046,60.512780167046,60.512780167046,61.313896834035404,61.313908874988556,61.32957875006832,62.31403645896353,62.345925334026106,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",1,0,1,0,0,7,7,1,62.345925334026106,,,,,,,,,,,,,,,,,,,,,,,,,,62.3142820840003,62.345925334026106,63.31395862507634,63.3139669590164,63.33096095896326,63.33096095896326,63.33096095896326,64.3983832920203,64.39839591702912,64.41363870899659,65.39637487498112,65.41149475006387,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.39648416696582,65.39669199998025,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
,,,,,,,,,,,,,,,,,,,68.21236395905726,,,,,,,,,,,,,,,,,,,65.3969138750108,65.41149475006387,65.41149475006387,68.14748366700951,space,2.733717958093621,None,68.18019045901019,68.21236395905726,69.16309162497055,69.16310504206922,69.17987733404152,69.17987733404152,69.17987733404152,,,,,,,,,,,,,,,,,
