No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,main_early.stopped,ct_resp.stopped,main_late.stopped,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,2,2,2,,,,,,,,,,57.57859391707461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.53760312497616,57.57859391707461,58.53909958305303,58.56665316701401,59.03752308303956,59.03752308303956,59.03752308303956,59.03752308303956,59.45281912502833,left,0,0.41155737498775125,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,0,3,3,3,,,,,,,,,,59.49456220807042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.45336358307395,59.49456220807042,60.44718662498053,60.4853135420708,60.95465162501205,60.95465162501205,60.95465162501205,60.93364587507676,61.00429950002581,left,0,0.04668499995023012,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",4,congruent,,,,,,,,,0,4,4,4,,,,,,,,,,61.043815458077006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.00499250006396,61.043815458077006,62.00565458298661,62.034362583071925,62.50369495805353,62.50369495805353,62.50369495805353,62.50369495805353,62.554507708060555,left,0,0.049583249958232045,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",2,incongruent,,,,,,,,,0,5,5,5,,,,,,,,,,62.59352350002155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55521854199469,62.59352350002155,63.55412666697521,63.58441941707861,64.04577454202808,64.04577454202808,64.04577454202808,64.04577454202808,64.19755216699559,left,0,0.14675983390770853,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,0,6,6,6,,,,,,,,,,64.23648141697049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19821154198144,64.23648141697049,65.19569037505426,65.230619625072,65.68696395796724,65.68696395796724,65.68696395796724,65.68696395796724,65.81460425001569,left,1,0.1202818329911679,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
139,Week,星期四,星期一,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",3,incongruent,,,,,,,,,0,7,7,7,,,,,,,,,,65.85296279203612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.81518716702703,65.85296279203612,66.81228066701442,66.84686979197431,67.31336200004444,67.31336200004444,67.31336200004444,67.30117187497672,67.41396116698161,left,0,0.09330950002186,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",2,congruent,,,,,,,,,0,8,8,8,,,,,,,,,,67.44876800000202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.41445908299647,67.44876800000202,68.4049936250085,68.44715312507469,68.9037016669754,68.9037016669754,68.9037016669754,68.9037016669754,69.05363075004425,left,0,0.14547616604249924,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",3,incongruent,,,,,,,,,0,9,9,9,,,,,,,,,,69.09330954204779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05414358305279,69.09330954204779,70.04588724998757,70.0836598330643,70.55608037498314,70.55608037498314,70.55608037498314,70.53378458297811,70.75368612504099,left,0,0.19302454101853073,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,10,10,10,,,,,,,,,,70.79147416702472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.75420429196674,70.79147416702472,71.74561079207342,71.78538374998607,72.24580008303747,72.24580008303747,72.24580008303747,72.23775116703473,72.40356329199858,left,0,0.1522112910170108,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",3,congruent,,,,,,,,,0,11,11,11,,,,,,,,,,72.44176195806358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.40413929207716,72.44176195806358,73.40532145800535,73.43458370806184,73.9034777500201,73.9034777500201,73.9034777500201,73.9034777500201,74.00363845797256,left,0,0.09760225005447865,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",3,congruent,,,,,,,,,0,12,12,12,,,,,,,,,,74.04172891704366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.00421745807398,74.04172891704366,75.00530354201328,75.0333939170232,75.50345033302438,75.50345033302438,75.50345033302438,75.50345033302438,75.64732700004242,left,0,0.13920695800334215,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",2,incongruent,,,,,,,,,0,13,13,13,,,,,,,,,,75.68247025005985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64791766705457,75.68247025005985,76.63903104199562,76.68050716700964,77.1372619579779,77.1372619579779,77.1372619579779,77.1372619579779,77.31274041708093,left,0,0.16619049990549684,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
46,Month,四月,一月,,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,incongruent,,,,,,,,,0,14,14,14,,,,,,,,,,77.34870620805304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31329012499191,77.34870620805304,78.3059124170104,78.34667350002564,78.80400579201523,78.80400579201523,78.80400579201523,78.80400579201523,79.95357825001702,left,1,1.147263583028689,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",2,incongruent,,,,,,,,,0,15,15,15,,,,,,,,,,79.99219958297908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.95416587498039,79.99219958297908,80.9455758749973,80.9844782500295,81.45420366700273,81.45420366700273,81.45420366700273,81.43384166702162,81.51922029198613,left,0,0.06031525006983429,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",2,congruent,,,,,,,,,0,16,16,16,,,,,,,,,,81.55737825005781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.51972995803226,81.55737825005781,82.51202666701283,82.54987054201774,83.02003925002646,83.02003925002646,83.02003925002646,83.00173266697675,83.13063004205469,left,0,0.10605520801618695,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",2,incongruent,,,,,,,,,0,17,17,17,,,,,,,,,,83.16898462502286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.13121404207777,83.16898462502286,84.12902262504213,84.16390904202126,84.62983491702471,84.62983491702471,84.62983491702471,84.61718050006311,85.1793890830595,left,1,0.5402188750449568,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
58,Month,六月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",4,incongruent,,,,,,,,,0,18,18,18,,,,,,,,,,85.21337679203134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18002704204991,85.21337679203134,86.17251437506638,86.213573792018,86.67013154202141,86.67013154202141,86.67013154202141,86.67013154202141,90.23052266705781,left,0,3.556295165908523,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,incongruent,,,,,,,,,0,19,19,19,,,,,,,,,,90.26946691703051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.23112520796712,90.26946691703051,91.22869291703682,91.26219670800492,91.72124624997377,91.72124624997377,91.72124624997377,91.72124624997377,91.91419137502089,left,1,0.18378745892550796,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,0,20,20,20,,,,,,,,,,91.95343658304773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.91486479202285,91.95343658304773,92.91224833298475,92.94523470802233,93.41307204205077,93.41307204205077,93.41307204205077,93.40067262505181,98.39639083307702,None,0,,,98.43071666697506,98.43071666697506,98.43071666697506,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
34,Month,六月,二月,,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",4,incongruent,,,,,,,,,0,21,21,21,,,,,,,,,,98.43071666697506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39712787501048,98.43071666697506,99.4132859170204,99.42061129200738,99.90485599997919,99.90485599997919,99.90485599997919,99.90485599997919,103.73600220796652,left,0,3.826140542048961,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",3,incongruent,,,,,,,,,0,22,22,22,,,,,,,,,,103.77233637496829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.73652554198634,103.77233637496829,104.72895008302294,104.76817062497139,105.23687395802699,105.23687395802699,105.23687395802699,105.21632175007835,110.23044320801273,None,0,,,110.26774979196489,110.26774979196489,110.26774979196489,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,23,23,23,,,,,,,,,,110.26774979196489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.23089950007852,110.26774979196489,111.22836045804434,111.26294804201461,111.74579283304047,111.74579283304047,111.74579283304047,111.71672991698142,113.16368650004733,left,0,1.4065507089253515,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",3,congruent,,,,,,,,,0,24,24,24,,,,,,,,,,113.20340954198036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.16427291696891,113.20340954198036,114.16174408304505,114.19612116704229,114.65445195802022,114.65445195802022,114.65445195802022,114.65445195802022,114.86852054204792,left,0,0.21061041695065796,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",1,incongruent,,,,,,,,,0,25,25,25,,,,,,,,,,114.90358300006483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.86910949996673,114.90358300006483,115.86211058299523,115.89593991707079,116.37161174998619,116.37161174998619,116.37161174998619,116.34953450004105,117.88034637505189,left,0,1.4983774580759928,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
148,Week,星期六,星期三 ,,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",3,incongruent,,,,,,,,,0,26,26,26,,,,,,,,,,117.92046295804903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.88095937506296,117.92046295804903,118.89649387507234,118.91258137498517,119.3797988750739,119.3797988750739,119.3797988750739,119.38533245807048,124.07041100005154,left,0,4.684734124923125,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",4,incongruent,,,,,,,,,0,27,27,27,,,,,,,,,,124.11277520807926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.07140520797111,124.11277520807926,125.06936241697986,125.10082562500611,125.57063958304934,125.57063958304934,125.57063958304934,125.56277812505141,125.58496787503827,left,0,0.009354665991850197,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",1,congruent,,,,,,,,,0,28,28,28,,,,,,,,,,125.62814987497404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.58547912503127,125.62814987497404,126.57964029198047,126.6174670420587,127.0864930000389,127.0864930000389,127.0864930000389,127.07905891700648,127.26912495796569,left,1,0.18081466597504914,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",4,congruent,,,,,,,,,0,29,29,29,,,,,,,,,,127.30423004203476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.26960708305705,127.30423004203476,128.26184970804024,128.2999899169663,128.77210791700054,128.77210791700054,128.77210791700054,128.7495692500379,128.88680029206444,left,1,0.11351558298338205,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",2,congruent,,,,,,,,,0,30,30,30,,,,,,,,,,128.9220244999742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.88727825006936,128.9220244999742,129.8787993750302,129.91786512499675,130.3871762920171,130.3871762920171,130.3871762920171,130.36641320807394,130.5133327919757,left,0,0.11690274998545647,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
112,Week,星期二,星期三 ,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,31,31,31,,,,,,,,,,130.55263391707558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.51398354198318,130.55263391707558,131.5115623329766,131.54670395806897,132.00324487499893,132.00324487499893,132.00324487499893,132.00324487499893,132.1867117920192,left,0,0.1778491250006482,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
