No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.57731789999525,169.57595020000008,169.59233200000017,3.014577599999029,173.59137300000293,173.59137300000293,space,1.356141900003422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.99306759999308,0.9997769000037806,176.00717470000382,176.05705139999918,176.85675160000392,176.97349390000454,176.97349390000454,176.97349390000454,left,1,0.7894635999982711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
24,Month,六月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.80266820000543,1.0098529999959283,178.80605889999424,178.8895063999953,179.68930600000022,179.78914209999493,179.78914209999493,179.78914209999493,up,1,1.1732875000016065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,2,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.00116630000412,1.0148959000071045,182.00508580000314,182.0884606000036,182.88813940000546,182.98818790000223,182.98818790000223,182.98818790000223,up,1,1.0231903999956558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,3,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.04348949999257,1.0146793000021717,185.05422380000527,185.13742329999513,185.93704059999436,186.03705240000272,186.03705240000272,186.03705240000272,down,1,1.0383262000104878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.11408200000005,1.013728000005358,188.11995480000041,188.2032576000056,189.00297349999892,189.10297079999873,189.10297079999873,189.10297079999873,down,1,1.0194382999907248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
77,Month,九月 ,七月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,5,5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.16335819999222,1.0132438000000548,191.16884119999304,191.25214039999992,192.0517652999988,192.15195070000482,192.15195070000482,192.15195070000482,up,1,0.9957465000043157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
101,Week,星期五,星期日,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,6,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1824013000005,1.010664599991287,194.18437010000343,194.26792260000366,195.0675751999952,195.1675477999961,195.1675477999961,195.1675477999961,left,1,0.9389875000051688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.14213870000094,1.0116810999898007,197.15009250000003,197.23340430000098,198.0330413000047,198.13327389999176,198.13327389999176,198.13327389999176,up,1,1.069638400003896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
23,Month,七月,十一月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,8,8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.24201990000438,1.010928600007901,200.24913599999854,200.33241889999772,201.13208899999154,201.23223919999145,201.23223919999145,201.23223919999145,up,1,1.002902100008214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.2782262999972,1.0103882999974303,203.28145769999537,203.36475559999235,204.16445699999167,204.26461270000436,204.26461270000436,204.26461270000436,up,1,1.1631600000109756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.46252869999444,1.0106449000013527,206.46375470000203,206.5470495000045,207.3469555000047,207.44674279999163,207.44674279999163,207.44674279999163,right,1,1.2682657999976072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
98,Week,星期二,星期三 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,11,11,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.75699480000185,1.0098968999955105,209.76272009999957,209.84609259999706,210.64568309999595,210.7456882999977,210.7456882999977,210.7456882999977,left,1,0.8414060999930371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6300198999961,1.0105525000108173,212.6284689000022,212.71160199999576,213.51144159999967,213.61156209999172,213.61156209999172,213.61156209999172,up,1,1.0080782000004547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.65582729999733,1.012054300008458,215.6607084999996,215.74421099999745,216.54383059999964,216.6438949000003,216.6438949000003,216.6438949000003,right,1,0.9509856000076979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,14,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.63837299999432,1.009865699990769,218.64318349999667,218.72637459999532,219.5259831000003,219.62612829999125,219.62612829999125,219.62612829999125,down,1,1.296834000007948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,15,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.95312089999788,1.011028199995053,221.95859300000302,222.04220820000046,222.84172100000433,222.94185489999654,222.94185489999654,222.94185489999654,left,1,0.7410340999922482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
46,Month,四月,一月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.7168168999924,1.014304100011941,224.7243463999912,224.80772199999774,225.6074338000035,225.7074750000029,225.7074750000029,225.7074750000029,left,1,1.0161751999985427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.75514520000434,1.0101330000034068,227.75678640000115,227.84010190000117,228.63975980000396,228.73973329999717,228.73973329999717,228.73973329999717,down,1,0.8874053000035929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.66572459999588,1.0124496999924304,230.67233780000242,230.75566219999746,231.5555991000001,231.65559379999468,231.65559379999468,231.65559379999468,left,1,0.7159225000068545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
38,Month,八月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,19,19,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.40084459999343,1.0101088999945205,233.40488269999332,233.48818780000147,234.28786919999402,234.38792720000492,234.38792720000492,234.38792720000492,down,1,0.8864847999939229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,20,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.31962189999467,1.0120352000085404,236.32057349999377,236.40405100000498,237.20365250000032,237.3036795999942,237.3036795999942,237.3036795999942,up,1,0.7961122999986401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
45,Month,九月 ,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,21,21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1291363999917,1.0116601000045193,239.13633599999594,239.21966170000087,240.01942090000375,240.11946329999773,240.11946329999773,240.11946329999773,left,1,0.8589922999963164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,22,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.00934459999553,1.0140700000047218,242.01873680000426,242.1020137000014,242.90176439999777,243.00174540000444,243.00174540000444,243.00174540000444,left,1,0.8086028000107035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8488151000056,1.0104932999965968,244.85119240000495,244.934425200001,245.73432679999678,245.83408079999208,245.83408079999208,245.83408079999208,down,1,0.8888639999931911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.75924430000305,1.0119294000032824,247.76687239999592,247.84999819999211,248.64993929999764,248.74982969999837,248.74982969999837,248.74982969999837,left,1,0.6376581999938935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.42764159999206,1.014757600001758,251.43230899999617,251.5157889999973,252.31547139999748,252.41532050000387,252.41532050000387,252.41532050000387,right,1,0.6595697000011569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,26,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.10886900000332,1.0099026999960188,254.11472050000157,254.197940500002,254.99766779999482,255.0977070999943,255.0977070999943,255.0977070999943,left,1,0.816950899999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,27,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.95831940000062,1.0120658000087133,256.9638233000005,257.0471528000053,257.8467290999979,257.94670040000346,257.94670040000346,257.94670040000346,up,1,0.7195633000083035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,28,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.69957549999526,0.9991632000019308,259.7128110000049,259.79616660000465,260.5958052999922,260.6957775000046,260.6957775000046,260.6957775000046,up,1,0.707632100005867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-16_14h12.06.201,ETproject_Chi_2023.1.1,2023.1.1,60.050250050874325,
