No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_4.started,fengjing.started,text.started,key_resp.started,fengjing.stopped,break_4.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.68835204199422,27.688627582974732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.68867520801723,27.695132458000444,27.695132458000444,28.80551541701425,space,1.1013190419180319,None,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,28.876622957992367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.840909958002158,28.876622957992367,29.79614029196091,29.871110916952603,30.29604200005997,30.29604200005997,30.29604200005997,30.29604200005997,30.572105875005946,left,0,0.266079124994576,None,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,30.61110845801886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.572931207949296,30.61110845801886,31.571831417037174,31.604375583003275,32.071501082973555,32.071501082973555,32.071501082973555,32.071501082973555,33.42883700004313,left,0,1.3560777090024203,None,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,33.465757332975045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.429430249962024,33.465757332975045,34.42975279199891,34.45840150001459,34.92955937504303,34.92955937504303,34.92955937504303,34.92955937504303,35.35540879203472,left,0,0.4168787499656901,None,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,35.39618266699836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.35600779205561,35.39618266699836,36.35354504198767,36.40550837502815,36.85507825005334,36.85507825005334,36.85507825005334,36.84161841694731,37.245235207956284,left,0,0.38901954202447087,None,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",4,congruent,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,37.28283195802942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.24575437500607,37.28283195802942,38.246308999951,38.276713583036326,38.74585929198656,38.74585929198656,38.74585929198656,38.74585929198656,39.47129654197488,left,0,0.7161544170230627,None,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
,,,,,,,,,,,,,Spring 1.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 1.jpg,,,,,,,,,,,,,0,0,0,0,,,,,39.564925875049084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.48307670804206,39.564925875049084,43.46410720795393,43.46410720795393,43.559363542008214,47.354521792032756,left,0,3.8796095420839265,None,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
,,,,,,,,,,,,,Spring 2.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 2.jpg,,,,,,,,,,,,,0,1,1,1,,,,,47.45125295803882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.35538974998053,47.45125295803882,51.346008499967866,51.346008499967866,51.44331979204435,53.160157624981366,left,0,1.8111409590346739,None,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2130330420332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.176408375031315,53.2130330420332,54.155036207986996,54.2087398750009,54.6613843330415,54.6613843330415,54.6613843330415,54.641172708012164,,,,,,,,,,,,,,,,,,,,,,,,,
