No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.46528629999375,1.0095589999982622,232.4697618999926,232.55298629999743,233.35291499999585,233.452879199991,233.452879199991,233.452879199991,up,1,0.8540699000004679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
38,Month,八月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,8,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.35120520000055,1.0144910000090022,235.35246859998733,235.4353296999907,236.23526760000095,236.33514389999618,236.33514389999618,236.33514389999618,down,1,1.059316700004274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.42742629999702,1.0153713000036078,238.43439429999853,238.51775879999332,239.31732619999093,239.4174090999877,239.4174090999877,239.4174090999877,up,1,0.8092589000007138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
78,Month,十月 ,八月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,10,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.26483780000126,1.0103223000041908,241.26686399999016,241.3501547999913,242.14988060000178,242.24987299999339,242.24987299999339,242.24987299999339,up,1,0.8410906999924919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.1344575999974,1.0115988000034122,244.14917999999307,244.21591600000102,245.01564489999146,245.11562549999508,245.11562549999508,245.11562549999508,down,1,0.8307176000089385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.97974359999353,1.0116668999980902,246.9817968999996,247.06499829998938,247.86466329998802,247.96470499999123,247.96470499999123,247.96470499999123,right,1,0.7338235000061104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7359446999908,0.9991860999871278,249.74745559999428,249.83070169998973,250.63041749999684,250.73043919999327,250.73043919999327,250.73043919999327,left,1,0.8650667000038084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
150,Week,星期日,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,14,14,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.62068229999568,1.0123391000088304,252.62975870000082,252.71308039998985,253.512745,253.61286090000067,253.61286090000067,253.61286090000067,up,1,0.8858457000023918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.5426892999967,1.0107353000057628,255.54558589999215,255.62876749999123,256.42853489999834,256.52856859999883,256.52856859999883,256.52856859999883,up,1,0.9063462000049185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.4718540999893,1.0153812000062317,259.47751539999445,259.56083699999726,260.3605114999955,260.46055889999843,260.46055889999843,260.46055889999843,up,1,0.8304700000153389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,17,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.31612419999146,1.0151882999925874,262.32656699999643,262.4099247999984,263.20962899998995,263.309546199991,263.309546199991,263.309546199991,down,1,0.9968841999943834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
143,Week,星期六,星期五,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,18,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.3360098999983,1.0139217999967514,265.3422336999938,265.42559159999655,266.225319899997,266.3251969999983,266.3251969999983,266.3251969999983,down,1,0.8615138000022853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,19,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.214218299996,1.0153021000005538,269.22434259999136,269.3076369999908,270.10730550000153,270.20731749999686,270.20731749999686,270.20731749999686,up,1,0.859137199993711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.10146130000066,1.0103327999968315,272.1067119999934,272.1900459999888,272.9896937000012,273.0896880999935,273.0896880999935,273.0896880999935,left,1,0.9928233999962686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
24,Month,六月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,21,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.11290349999035,1.0155688999948325,275.122510199988,275.20569180000166,276.0057165999897,276.1055037999904,276.1055037999904,276.1055037999904,up,1,0.8249020000075689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,22,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.97046129999217,1.0120535000023665,277.9716054999881,278.05481839999266,278.85464029999275,278.95477579999715,278.95477579999715,278.95477579999715,right,1,0.8878360000089742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
13,Month,四月,七月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,23,23,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.8894824000017,1.010437599994475,280.9039565999992,280.970587799995,281.77040679998754,281.87022169999545,281.87022169999545,281.87022169999545,right,1,1.0363176999962889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.9458447999932,1.0125282000080915,283.95302859999356,284.03628039998875,284.8359505999979,284.9360309999902,284.9360309999902,284.9360309999902,left,1,1.5954074999899603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5662547999964,1.0130589999898802,287.56835319999664,287.65164989999903,288.45139099999506,288.55154799998854,288.55154799998854,288.55154799998854,right,1,1.1800613999948837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,26,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.75835169998754,1.0137264000077266,290.7673240000004,290.85072339999897,291.6504142999911,291.75039869999455,291.75039869999455,291.75039869999455,right,1,0.7176221999980044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.5162854999944,1.0121355000010226,293.51633199999924,293.59983959999226,294.3993550999876,294.49958139999944,294.49958139999944,294.49958139999944,up,1,0.8393084999988787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,28,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.3819586999889,1.011942299999646,296.3821864999918,296.46547579999606,297.2653913999966,297.3651486999879,297.3651486999879,297.3651486999879,down,1,0.9982128999981796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
