No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,fix.started,main_image_2.stopped,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.78744530000404,179.78646819999994,179.8027813000008,3.0146755000023404,183.80152060000546,183.80152060000546,space,3.7723610999964876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.75748429999658,0.9998424999939743,188.68438620000234,188.76667020000605,189.4996236000079,189.5997700999942,189.5997700999942,189.5997700999942,left,1,1.4211522999976296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.06012909999845,1.0127549000026193,192.14886049999768,192.06552520000696,192.94850350000343,193.04850080000324,193.04850080000324,193.04850080000324,up,1,4.020130699995207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.1205034999948,1.0122264999954496,198.19679320000432,198.1300904000018,198.99652609999612,199.09675990000687,199.09675990000687,199.09675990000687,right,1,1.0768507000029786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.20711049999954,1.0106889000016963,201.29572689999623,201.21234859999822,202.09541659999377,202.19578519999777,202.19578519999777,202.19578519999777,left,1,2.6655469999968773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
50,Month,八月,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,4,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.88895729999786,1.0129134000017075,205.9776597999953,205.89423169999645,206.77737160000106,206.87735040000553,206.87735040000553,206.87735040000553,left,1,2.0784708999999566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.98835900000267,1.0156067999923835,211.0759321000005,210.99270700000488,211.87553909999406,211.97566180000285,211.97566180000285,211.97566180000285,left,1,3.1565293000021484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
58,Month,六月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1698841999969,1.0120749999914551,216.25744419999683,216.1742410000079,217.05734510000184,217.15750910000497,217.15750910000497,217.15750910000497,up,1,1.8082926999923075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,7,7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.99981319999642,1.0115424999967217,220.08973060000426,220.00636839999788,220.88933139999426,220.98935379999602,220.98935379999602,220.98935379999602,up,0,2.9281684000015957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.94568979999895,1.0131790000014007,225.03809290000208,224.95457920000626,225.8378273000053,225.93785639999987,225.93785639999987,225.93785639999987,right,1,2.8669068000017432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.84834230000706,1.0122125999914715,229.93655550000403,229.8530879999962,230.73611010000604,230.83607130000746,230.83607130000746,230.83607130000746,left,1,1.4883825999859255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.3659789000012,1.0117574000032619,233.4519921999963,233.3685570000016,234.25159890000214,234.35163789999933,234.35163789999933,234.35163789999933,left,1,1.3091405000013765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
120,Week,星期三 ,星期六,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,11,11,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.69335870000214,1.0110581000044476,236.78412010000466,236.700745800008,237.5839213000072,237.68383800000447,237.68383800000447,237.68383800000447,down,1,2.0401481999870157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.75743089999742,0.9992756999999983,240.8496004999979,240.766214700001,241.64914070000668,241.7492032999944,241.7492032999944,241.7492032999944,up,1,2.175168299989309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,13,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.95969730000797,1.0111341000010725,245.04822240000794,244.96471649999876,245.84790939999948,245.94772810000723,245.94772810000723,245.94772810000723,left,1,1.5055801999988034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,14,14,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.49431400000321,0.9992266000044765,248.58045869999478,248.49699180000607,249.38008500000433,249.4799295000048,249.4799295000048,249.4799295000048,up,1,2.3006647000001976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,15,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.82320520000212,1.0110068000067258,252.91216610000265,252.82889070000238,253.71168830000533,253.8119230999946,253.8119230999946,253.8119230999946,right,1,1.2732779999932973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
139,Week,星期四,星期一,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.1222079000072,1.0150166000094032,257.2106550999961,257.12745140000334,258.01031059999514,258.11040440000215,258.11040440000215,258.11040440000215,down,1,1.4465701000008266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.58378969999467,1.0156664999958593,261.67591719999473,261.59246380000695,262.47578230000363,262.57568970000284,262.57568970000284,262.57568970000284,up,1,2.0936749999964377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
78,Month,十月 ,八月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,18,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.7019145000013,1.012427800000296,265.79113230000803,265.70798990000185,266.5909778999994,266.69110089999594,266.69110089999594,266.69110089999594,up,1,1.3223541999905137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,19,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0535488999958,0.9990366999991238,269.1400786999948,269.05697040000086,269.93980759999977,270.03993590000755,270.03993590000755,270.03993590000755,up,0,1.7895500000013271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.8653240000058,1.0108634000062011,272.9554590999978,272.8721936000002,273.7553131999957,273.85532409999723,273.85532409999723,273.85532409999723,down,1,2.4525253000028897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
45,Month,九月 ,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,21,21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3496965000013,1.0137266000092495,277.4375218999994,277.3540950999959,278.23725549999654,278.337254399994,278.337254399994,278.337254399994,left,1,1.37943039998936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,22,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.75031989999843,1.0102325000043493,280.8362827000019,280.7527535000045,281.63603319999675,281.73596490000637,281.73596490000637,281.73596490000637,left,1,1.6359204000036698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
148,Week,星期六,星期三 ,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,23,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.4139900999944,1.0114438000018708,284.50172710000334,284.41847720000806,285.30147349999606,285.401383299999,285.401383299999,285.401383299999,up,1,1.316159299996798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,24,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.74580369999603,1.0131610999960685,287.83397250000417,287.75074080000195,288.6337490000078,288.73369669999374,288.73369669999374,288.73369669999374,up,1,1.6542295000108425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,25,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.42197420000593,1.0155805999966105,291.515937199998,291.43275919999724,292.3159075999938,292.4158304999946,292.4158304999946,292.4158304999946,down,1,1.7487011999910465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,26,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1933688000063,1.0103742000064813,295.281630999998,295.1982513000039,296.0811353999961,296.18123229999765,296.18123229999765,296.18123229999765,up,1,1.9193181000009645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
143,Week,星期六,星期五,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,27,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.13714990000153,1.0146609000075841,299.23011419999966,299.14692439999635,300.03009150000435,300.1298823000034,300.1298823000034,300.1298823000034,down,1,1.3379491999949096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,28,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.5007665999947,0.9993042999994941,302.5958823000037,302.512418899998,303.3956141000017,303.4955768,303.4955768,303.4955768,down,1,1.3804974999948172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-16_10h59.34.121,ETproject_Chi_2023.1.1,2023.1.1,59.96523215979998,
