No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.94168319995515,87.94055499997921,87.94055499997921,3.0146866999566555,91.95584449998569,91.95584449998569,space,3.7060810999246314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
13,Month,四月,七月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,0,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.71084519999567,0.9993236000882462,96.72121039999183,96.78759359999094,97.58744060003664,97.68726099992637,97.68726099992637,97.68726099992637,right,1,1.663372699986212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3890883999411,1.0097790999570861,100.40312869998161,100.46977700002026,101.26942739996593,101.36936849995982,101.36936849995982,101.36936849995982,right,1,1.6607723999768496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.06346049997956,1.0113266999833286,104.06846740003675,104.15182249993086,104.95170839992352,105.05165269994177,105.05165269994177,105.05165269994177,down,1,0.986497399979271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
34,Month,六月,二月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.07770279992837,1.012948999996297,107.08424240001477,107.1675715999445,107.96724499994889,108.06720809999388,108.06720809999388,108.06720809999388,right,1,0.9059651999268681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
23,Month,七月,十一月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,4,4,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.01628239999991,1.011254100012593,110.0165721999947,110.09998759999871,110.8996979999356,110.99957889993675,110.99957889993675,110.99957889993675,up,1,1.1672669999534264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2159727999242,1.0102814000565559,113.21562989999074,113.29868190002162,114.09846699994523,114.19868329993915,114.19868329993915,114.19868329993915,left,1,0.9753560000099242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2146020999644,1.0114940999774262,116.21448840002995,116.29785919992719,117.0975150000304,117.1977250999771,117.1977250999771,117.1977250999771,down,1,1.1672612000256777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.40783789998386,1.0148242000723258,120.41278649994638,120.49668119999114,121.29626079997979,121.39622530003544,121.39622530003544,121.39622530003544,right,1,2.0341595000354573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.47237149998546,1.0154244999866933,125.47811229992658,125.56162699998822,126.36111659999005,126.46118939993903,126.46118939993903,126.46118939993903,down,1,1.393266300088726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
112,Week,星期二,星期三 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,9,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.89154129999224,1.0103544000303373,128.89370649994817,128.97687849996146,129.7765473999316,129.87660269998014,129.87660269998014,129.87660269998014,up,1,1.0009594999719411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.92666100000497,1.0113045999314636,131.92595679999795,132.0093302000314,132.80908189993352,132.90911829995457,132.90911829995457,132.90911829995457,up,1,1.2801278999540955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,11,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.21931159996893,1.0115619000280276,135.22486610000487,135.30836459994316,136.1078999999445,136.208080100012,136.208080100012,136.208080100012,right,1,0.9417364000109956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
26,Month,六月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,12,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.18795159994625,1.0107676000334322,138.19079629995394,138.27387229993474,139.07370279997122,139.17366919992492,139.17366919992492,139.17366919992492,up,1,1.0641735000535846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
101,Week,星期五,星期日,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,13,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.26523210003506,1.0109349000267684,141.27292230003513,141.35620959999505,142.1559481000295,142.25581190001685,142.25581190001685,142.25581190001685,left,1,1.158647600095719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4604895999655,1.0115637999260798,144.47182640002575,144.53845929994714,145.33822139992844,145.4383164999308,145.4383164999308,145.4383164999308,down,1,1.0644054000731558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5392501000315,1.0111956000328064,147.5376997999847,147.62092140002642,148.42053230002057,148.52057559997775,148.52057559997775,148.52057559997775,down,0,1.3733394000446424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
120,Week,星期三 ,星期六,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,16,16,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.93231359997299,1.0122863999567926,150.93658889993094,151.019834500039,151.81962259998545,151.9195840000175,151.9195840000175,151.9195840000175,down,1,0.8374229999026284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
38,Month,八月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,17,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7967147999443,1.0125042999861762,153.8023222000338,153.88560719997622,154.68520579999313,154.78514479997102,154.78514479997102,154.78514479997102,up,0,1.5971154000144452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.40775539993774,1.0146866999566555,158.41740199993365,158.50053489999846,159.3004774999572,159.40032969997264,159.40032969997264,159.40032969997264,up,1,1.349743300001137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.77917669992894,1.0098811999196187,161.78274769999553,161.8662156999344,162.66589519998524,162.76592159993015,162.76592159993015,162.76592159993015,left,1,1.3681690000230446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,20,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1816661999328,1.011506599956192,165.1816608000081,165.26517359993886,166.06472000002395,166.16479009995237,166.16479009995237,166.16479009995237,right,1,1.7136012999108061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,21,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.9049085000297,1.0134101000148803,168.91400779993273,168.99704930000007,169.7967124999268,169.89689319999889,169.89689319999889,169.89689319999889,up,1,1.9973440999165177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,22,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9305125999963,1.0110695000039414,172.92934949998744,173.01243370003067,173.81225790001918,173.91223080002237,173.91223080002237,173.91223080002237,left,1,0.7259335999842733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,23,23,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.67536709993146,1.0104425000026822,175.6784671000205,175.76142989995424,176.56130329996813,176.66125260002445,176.66125260002445,176.66125260002445,down,1,1.184322000015527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,24,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.88604779995512,1.0121951999608427,178.89378849999048,178.97721279994585,179.77689929993358,179.87682469992433,179.87682469992433,179.87682469992433,right,1,1.0734125000890344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
143,Week,星期六,星期五,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,25,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.98778480000328,0.9990707000251859,181.99291689996608,182.0761243000161,182.87590169999748,182.97594249993563,182.97594249993563,182.97594249993563,down,1,1.9344617000315338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,26,26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.9491754999617,1.015092400019057,186.95798850001302,187.04149340000004,187.84096209995914,187.9409089999972,187.9409089999972,187.9409089999972,left,1,1.1130679999478161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,27,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0965775999939,1.0109384000534192,190.10684769996442,190.1731296000071,190.9730653000297,191.07330279995222,191.07330279995222,191.07330279995222,left,1,1.3645652000559494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,28,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.47213499993086,1.0108884000219405,193.47239989996888,193.55586309998762,194.35540420003235,194.4554978000233,194.4554978000233,194.4554978000233,left,1,1.0534434000728652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-22_16h21.12.612,ETproject_Chi_2023.1.1,2023.1.1,60.07359014880508,
