No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.17866749997484,152.1776252000127,152.1776252000127,3.0148694000090472,156.19308350002393,156.19308350002393,space,2.3760672999778762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.60924570000498,0.9992094999761321,159.6083903000108,159.69188320002286,160.491543799988,160.59146429999964,160.59146429999964,160.59146429999964,up,1,1.8415679999743588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.47598899999866,1.0115057000075467,163.49046840000665,163.55727769999066,164.3568687000079,164.45689159998437,164.45689159998437,164.45689159998437,right,1,1.1755200999905355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.66926559997955,1.0107783999992535,166.67272370000137,166.7561797000235,167.55578569998033,167.65575209999224,167.65575209999224,167.65575209999224,down,1,1.4086198000004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
98,Week,星期二,星期三 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,3,3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0972669000039,1.0119514999678358,170.10505249997368,170.18830300000263,170.9879585999879,171.08823950000806,171.08823950000806,171.08823950000806,left,1,1.168508299975656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
38,Month,八月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.29872520000208,1.013007000030484,173.30405500001507,173.3873750999919,174.1870686999755,174.28713279997464,174.28713279997464,174.28713279997464,down,1,0.9943572000483982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
46,Month,四月,一月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.31314350001048,1.0111436999868602,176.31969279999612,176.4029484000057,177.20271779998438,177.30259219999425,177.30259219999425,177.30259219999425,left,1,0.9789221999817528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.31359019997763,1.0145647000172175,180.3182084999862,180.40150789998006,181.20126509998227,181.30131249997066,181.30131249997066,181.30131249997066,right,1,1.1077086000004783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,7,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.43831479997607,1.01560410001548,183.45016349997604,183.53363840002567,184.33363190002274,184.43359069997678,184.43359069997678,184.43359069997678,left,1,0.9514901000075042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.42153729998972,1.0148348999791779,186.43287909997161,186.51627459999872,187.3160733000259,187.41607909998856,187.41607909998856,187.41607909998856,left,1,0.7360631999908946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.19283369998448,1.0094858999946155,189.19864560000133,189.28206459997455,190.08191990002524,190.18159440002637,190.18159440002637,190.18159440002637,up,1,1.674626599997282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
78,Month,十月 ,八月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,10,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8925814999966,0.9991246999707073,192.89738969999598,192.9807248999714,193.78059089998715,193.88047630002256,193.88047630002256,193.88047630002256,up,1,1.4571318999514915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
148,Week,星期六,星期三 ,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,11,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3711521999794,1.011964800010901,196.37968000001274,196.46305199997732,197.2626745000016,197.36275390000083,197.36275390000083,197.36275390000083,up,1,1.7255652999738231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.12374120001914,1.0109613999957219,200.12856410001405,200.21170039998833,201.0114260999835,201.11144329997478,201.11144329997478,201.11144329997478,up,1,1.032837200036738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.17077789996983,1.0106075000367127,203.17756560002454,203.26077609998174,204.0603426999878,204.1604511999758,204.1604511999758,204.1604511999758,up,1,1.3201540000154637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.51981909997994,1.0109287000377662,206.5263660000055,206.60966359998565,207.4093392000068,207.50953109998954,207.50953109998954,207.50953109998954,down,1,1.171390799980145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.71733289997792,1.0120990999857895,209.72538419999182,209.80851409997558,210.60832980001578,210.7081675999798,210.7081675999798,210.7081675999798,left,1,0.8771734000183642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
50,Month,八月,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,16,16,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.62074099999154,1.0110559999593534,212.62435779999942,212.70765589998337,213.50749849999556,213.60754549998092,213.60754549998092,213.60754549998092,left,1,1.2565994000178762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
23,Month,七月,十一月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,17,17,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.90401890000794,1.0111201999825425,215.9065981999738,215.98996249999618,216.78951209998922,216.88962339999853,216.88962339999853,216.88962339999853,down,0,1.8793024999904446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.79795450001257,1.014601600007154,219.80521159997443,219.8886032999726,220.68842239998048,220.7882350999862,220.7882350999862,220.7882350999862,up,1,1.1238539000041783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,19,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.94821220001904,1.014951099990867,222.95419189997483,223.0375706999912,223.83724780002376,223.9372298999806,223.9372298999806,223.9372298999806,down,1,1.4240568000241183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.39532720000716,0.9993580000009388,226.4030678999843,226.48647000000346,227.28617560002021,227.38615709997248,227.38615709997248,227.38615709997248,up,1,1.1981613000389189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,21,21,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.61150980001548,1.0112134999944828,229.6187256000121,229.70205530000385,230.50175529997796,230.60182919999352,230.60182919999352,230.60182919999352,up,1,1.0636725000222214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,22,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6923676999868,1.0152068000170402,232.7010142999934,232.7843384000007,233.58411880000494,233.68410070001846,233.68410070001846,233.68410070001846,left,1,0.7974651999538764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,23,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.50903800001834,1.0147518999874592,236.51641450001625,236.5997430999996,237.399499799998,237.49946670001373,237.49946670001373,237.49946670001373,down,1,1.1729911000002176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
112,Week,星期二,星期三 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,24,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.71588029997656,1.0109408000134863,239.71543500002008,239.79877599998144,240.59834299999056,240.69841630000155,240.69841630000155,240.69841630000155,up,1,1.4376884999801405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.17289950000122,1.0117435999563895,243.18089439999312,243.2640477999812,244.06371179997222,244.16379869997036,244.16379869997036,244.16379869997036,up,1,0.909970999986399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
143,Week,星期六,星期五,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,26,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1009254999808,1.0154013999854214,247.11289440002292,247.19657179998467,247.99605539999902,248.09611799998675,248.09611799998675,248.09611799998675,down,1,1.4412684999988414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,27,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.57107409997843,1.0118388999835588,250.5783568000188,250.66195590002462,251.4614819000126,251.5614893999882,251.5614893999882,251.5614893999882,up,1,1.1273602999863215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,28,28,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7272758000181,1.011485300026834,253.72736489999807,253.81068210001104,254.610545500007,254.71052449999843,254.71052449999843,254.71052449999843,left,1,0.962665900005959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
