No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.77370309922844,156.7725879997015,156.78908739984035,3.014411199837923,160.7876412998885,160.7876412998885,space,2.45928250066936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.28887349925935,0.9992466997355223,164.30316759925336,164.36983509920537,165.1695841997862,165.26962849963456,165.26962849963456,165.26962849963456,left,1,0.8963407007977366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
58,Month,六月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.20310429949313,1.0122488997876644,167.20211789943278,167.28578159958124,168.0855208998546,168.18513969983906,168.18513969983906,168.18513969983906,up,1,1.789193800650537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,2,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0113001000136,1.011523200199008,171.01767539978027,171.10097449924797,171.90066709928215,172.000705499202,172.000705499202,172.000705499202,left,1,1.10075160022825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.1380592994392,0.9990761000663042,174.1497863996774,174.23330009914935,175.03342620003968,175.13304159976542,175.13304159976542,175.13304159976542,right,0,2.5617672000080347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.72070749942213,1.015021899715066,178.73175899963826,178.81512899976224,179.61501309927553,179.71485309954733,179.71485309954733,179.71485309954733,left,1,2.3558072010055184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
45,Month,九月 ,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,5,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.10546689946204,1.0143226999789476,183.11367379967123,183.19678949937224,183.99695609975606,184.09675609972328,184.09675609972328,184.09675609972328,left,1,0.910177200101316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
23,Month,七月,十一月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,6,6,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.04368659947067,1.0111442999914289,186.0460922997445,186.12931900005788,186.92907289974391,187.02903349976987,187.02903349976987,187.02903349976987,up,1,1.1938809007406235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
98,Week,星期二,星期三 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,7,7,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2572137992829,1.0108492001891136,189.261488199234,189.34507859963924,190.14477209933102,190.2450119992718,190.2450119992718,190.2450119992718,left,1,1.5294045014306903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
24,Month,六月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,8,8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.80297449976206,1.010831699706614,192.81054579932243,192.89392309915274,193.69351269956678,193.79336609970778,193.79336609970778,193.79336609970778,up,1,1.101770400069654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,9,9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.93942980002612,1.013760599307716,195.9426923999563,196.02624799963087,196.8258447991684,196.92587559949607,196.92587559949607,196.92587559949607,up,1,1.1996687008067966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
112,Week,星期二,星期三 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,10,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.15264640003443,1.0134276999160647,199.15837399940938,199.2416488993913,200.04144589975476,200.1413165992126,200.1413165992126,200.1413165992126,up,1,1.7221188005059958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.89469959959388,0.9995341002941132,202.90731409937143,202.99062079936266,203.79019729979336,203.89011389948428,203.89011389948428,203.89011389948428,up,0,1.740701500326395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.66178689990193,1.0147895002737641,207.6724182991311,207.75569320004433,208.55528779979795,208.65528319962323,208.65528319962323,208.65528319962323,down,1,1.4547267006710172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,13,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.15246059931815,1.0113987000659108,211.15438229963183,211.23786749970168,212.03757099993527,212.13743679970503,212.13743679970503,212.13743679970503,up,1,1.1330953007563949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.29515039920807,1.011573899537325,214.30327069945633,214.38674199953675,215.18634399957955,215.28653919976205,215.28653919976205,215.28653919976205,right,1,1.4798640003427863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.79938379954547,1.0148612996563315,218.80169190000743,218.88501069974154,219.68493789993227,219.7849426995963,219.7849426995963,219.7849426995963,up,1,1.566321300342679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.37696559913456,1.0108788004145026,222.38404469937086,222.46742179989815,223.26711529958993,223.36706649977714,223.36706649977714,223.36706649977714,left,1,1.726506601087749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.12065909989178,1.0152992000803351,226.13276920001954,226.2161424998194,227.01584579981863,227.1159481992945,227.1159481992945,227.1159481992945,up,1,1.2416340010240674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
150,Week,星期日,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,18,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.39439229946584,1.0148230995982885,229.39833439979702,229.48167759925127,230.2815370997414,230.3812629999593,230.3812629999593,230.3812629999593,up,1,2.7779465010389686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,19,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.1889320993796,1.0153921004384756,234.19688429962844,234.2801385000348,235.079882199876,235.1798367993906,235.1798367993906,235.1798367993906,up,1,1.2995042009279132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,20,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.50856359954923,1.0150995999574661,237.51232699956745,237.59584550000727,238.39545049984008,238.4955873992294,238.4955873992294,238.4955873992294,right,1,1.038458300754428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5722839999944,1.0154839996248484,240.578086999245,240.66131779924035,241.46111489925534,241.5611143000424,241.5611143000424,241.5611143000424,right,1,1.6054346011951566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,22,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.20402359962463,1.0117493001744151,244.2102994993329,244.29345449991524,245.09324639942497,245.19321959931403,245.19321959931403,245.19321959931403,down,1,1.237690401263535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,23,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.46975529938936,1.0118505004793406,247.47564819920808,247.5590500999242,248.3588059991598,248.45882429927588,248.45882429927588,248.45882429927588,up,1,1.7640502005815506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,24,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.25149739999324,1.012037799693644,251.25774959940463,251.34128739964217,252.1409497000277,252.24094219971448,252.24094219971448,252.24094219971448,left,1,1.5743983006104827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,25,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.85318950004876,0.9992622006684542,254.85673909913749,254.9399733999744,255.73969059996307,255.83969999942929,255.83969999942929,255.83969999942929,left,0,1.3261181004345417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
101,Week,星期五,星期日,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,26,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.2018801998347,1.0099499998614192,258.2057024994865,258.2888773996383,259.0886996993795,259.18858299963176,259.18858299963176,259.18858299963176,left,1,1.7062578005716205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
38,Month,八月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,27,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.93625659961253,1.0097425002604723,261.9376006992534,262.02093390002847,262.8207353996113,262.9206689996645,262.9206689996645,262.9206689996645,up,0,1.0939182005822659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,28,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.04595709964633,1.0117469998076558,265.0532167991623,265.1367667997256,265.9364211000502,266.03623129986227,266.03623129986227,266.03623129986227,up,0,1.4258982008323073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-15_16h19.43.707,ETproject_Chi_2023.1.1,2023.1.1,59.97123793831685,
